N°	Fecha	Hora de inicio	Hora de fin	Tiempo de respuesta (ms)	Tipo de operación	Estado	Observación
1	02/07/2026	04:39:21.379	04:39:22.289	910	AuthController.login	Fallida	Excepción: BadCredentialsException - Credenciales erróneas
2	02/07/2026	04:39:27.663	04:39:28.370	707	AuthController.login	Fallida	Excepción: BadCredentialsException - Credenciales erróneas
3	02/07/2026	04:39:30.207	04:39:30.913	706	AuthController.login	Fallida	Excepción: BadCredentialsException - Credenciales erróneas
4	02/07/2026	04:39:48.536	04:39:49.387	851	AuthController.login	Exitosa	Respuesta dentro del rango esperado
5	02/07/2026	04:40:03.438	04:40:04.006	568	PersonaController.getPersonasPage	Exitosa	Respuesta dentro del rango esperado
6	02/07/2026	04:40:03.430	04:40:04.089	659	PersonaController.getPersonaStats	Exitosa	Respuesta dentro del rango esperado
7	02/07/2026	04:40:18.487	04:40:18.612	125	DocumentoController.getDropdown	Exitosa	Respuesta dentro del rango esperado
8	02/07/2026	04:40:18.534	04:40:18.773	239	CategoriaPersonaController.getDropdown	Exitosa	Respuesta dentro del rango esperado
9	02/07/2026	04:40:18.487	04:40:19.232	745	PersonaJuridicaController.getDropdown	Exitosa	Respuesta dentro del rango esperado
10	02/07/2026	04:40:37.237	04:40:37.905	668	PersonaNaturalController.createPersonaNatural	Exitosa	Respuesta dentro del rango esperado
11	02/07/2026	04:40:39.278	04:40:39.899	621	PersonaNaturalController.getPersonaNaturalById	Exitosa	Respuesta dentro del rango esperado
12	02/07/2026	04:40:41.463	04:40:41.717	254	DocumentoController.getDropdown	Exitosa	Respuesta dentro del rango esperado
13	02/07/2026	04:40:41.598	04:40:41.957	359	CategoriaPersonaController.getDropdown	Exitosa	Respuesta dentro del rango esperado
14	02/07/2026	04:40:42.059	04:40:42.307	248	TelefonoPersonaController.findByPersonaId	Exitosa	Respuesta dentro del rango esperado
15	02/07/2026	04:40:41.825	04:40:42.371	546	DetalleDocumentoController.findByPersonaNaturalId	Exitosa	Respuesta dentro del rango esperado
16	02/07/2026	04:40:41.825	04:40:42.446	621	NaturalJuridicoController.getRelacionesByPersonaNatural	Exitosa	Respuesta dentro del rango esperado
17	02/07/2026	04:40:41.699	04:40:42.546	847	PersonaJuridicaController.getDropdown	Exitosa	Respuesta dentro del rango esperado
